transaction_id,category,budget,amount,category_match,quantity_match,time_match,merchant_trust,historical_success,previous_violations,intent_similarity,violation_type,authorized
TXN00001,smartphone,4278,2016,1,1,1,0.4,0.46,5,0.98,none,1
TXN00002,smartphone,78397,25154,1,1,1,0.45,0.7,0,0.91,none,1
TXN00003,groceries,29893,14789,1,1,1,0.91,0.86,1,0.94,none,1
TXN00004,flight,37421,20622,1,0,1,0.57,0.62,2,0.5,quantity_violation,0
TXN00005,laptop,96647,37438,1,1,1,0.95,0.45,2,0.97,none,1
TXN00006,flight,76674,83142,1,1,1,0.46,0.57,0,0.63,budget_violation,0
TXN00007,smartphone,50823,29544,1,0,1,0.55,0.8,5,0.67,quantity_violation,0
TXN00008,smartphone,80840,54477,1,1,1,0.47,0.68,2,1.0,none,1
TXN00009,shoes,90733,76017,1,1,1,0.34,0.89,2,0.88,none,1
TXN00010,smartphone,28653,19971,1,1,1,0.8,0.53,3,0.88,none,1
TXN00011,books,19726,17210,0,1,1,0.68,0.85,3,0.65,category_mismatch,0
TXN00012,groceries,48447,36566,0,1,1,0.36,0.43,0,0.28,category_mismatch,0
TXN00013,headphones,90192,31068,1,1,1,0.57,1.0,4,0.85,none,1
TXN00014,laptop,90166,70076,1,1,1,0.68,0.56,5,0.87,none,1
TXN00015,hotel,57985,102364,1,1,1,0.91,0.56,4,0.58,budget_violation,0
TXN00016,smartphone,82959,66739,1,1,1,0.41,0.86,4,0.68,merchant_violation,0
TXN00017,laptop,79504,24935,1,1,1,0.95,0.93,2,0.85,none,1
TXN00018,shoes,75364,27127,1,1,1,0.64,0.44,4,0.95,none,1
TXN00019,headphones,87474,59907,1,1,1,0.49,0.92,3,0.99,none,1
TXN00020,shoes,94447,94126,1,1,1,0.75,0.66,4,0.89,none,1
TXN00021,shoes,30451,45409,1,1,1,0.46,0.53,0,0.55,budget_violation,0
TXN00022,laptop,31007,52548,1,1,1,0.35,0.54,5,0.44,budget_violation,0
TXN00023,headphones,95811,67041,1,1,1,0.63,0.87,3,0.84,none,1
TXN00024,smartphone,87374,52119,1,1,1,0.63,0.84,5,0.93,none,1
TXN00025,smartphone,8944,4807,1,1,1,0.9,0.55,1,0.91,none,1
TXN00026,headphones,56296,35179,1,1,0,0.95,0.67,4,0.25,time_violation,0
TXN00027,laptop,13224,11823,1,1,1,0.42,0.69,1,0.97,none,1
TXN00028,laptop,22579,22346,1,1,1,0.49,0.87,3,0.86,none,1
TXN00029,books,21289,20955,0,1,1,0.71,0.73,5,0.36,category_mismatch,0
